phrase,count
dobranoc,29
no wlasnie,18
dziea dobry,13
he he,13
nie wiem,10
dobranoc kasiu,9
dlaczego?,6
dzieki,6
zobaczymy,6
dziekuje,6
zartuje,6
dobranoc kasieako,6
co robisz?,5
to dobrze,5
tak tak,5
nie rozumiem,5
to prawda,4
niestety,4
e tam,4
witam,4
dzien dobry,3
fajne,3
no nie,3
mozliwe,3
niewazne,3
czy jakos tak,3
o to to tak,3
nie nie,3
wyslales zalacznik,3
oj tam,3
powiedz,3
spisz juz?,3
dlaczego,3
no widzisz,3
wlasnie,3
dokladnie,3
a co?,3
nie znam,3
ide palia,3
fajnie,3
a ty co robisz?,3
ale dobra,3
dobrze jest,3
i dobrze,3
o prosze,3
roznie bywa,3
czesa,3
wszystkiego,2
a buzka?,2
nie mam wyboru,2
wyspany?,2
ja juz w domku,2
troche,2
ja tez tak mialem,2
rozbieraj sie i spij,2
to dobranoc,2
prosze,2
i tyle,2
dlaczego mialabym nie dac,2
tobie mialabym zalowaa?,2
no moze,2
a ty?,2
no wiesz,2
no co ty?,2
ogladasz cos?,2
no tak,2
zauwazylam,2
dobre,2
teraz jestes ty,2
no wiem,2
masz racje,2
zmeczony pewnie,2
czasu brak,2
a ja chce do domu,2
no i dobrze,2
fajnieao,2
nie martw sie na zapas,2
chodz przytule,2
idziemy do sklepu,2
a pamiea mial niesamowita,2
fajnie bylo,2
spalam,2
cieplutka napalona ladna buzia,2
no ale jak trzeba to trzeba,2
dobrze,2
i tak ma bya,2
w pilke gramy,2
szybko,2
takie,2
rozumiem,2
i buzka,2
buzka,2
jeszcze nie wiem,2
dobra,2
tak mysle,2
tak fajnie,2
to ok,2
dziea dobry ao,2
niezbyt,2
super,2
w sumie,2
bedzie dobrze,2
no nie wiem,2
be be be,2
wiem wiem,2
a jak u ciebie?,2
tak mi sie wydaje,2
nie pamietam,2
pewnie tak,2
my juz w bialymstoku,2
tez smakowite,2
to slabo,2
to dobrzeao,2
za duzo,2
jeszcze nie,2
dzis nie,2
i gierka,2
ide pod prysznic,2
a ja pracuje,2
to super,2
u mnie jakos leci,2
co u ciebie?,2
